YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 09 17 22 999 99.0 99.0  1.50  7.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 17 23 999 99.0 99.0  1.20  7.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 18 00 999 99.0 99.0  1.30  7.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 18 01 999 99.0 99.0  1.30  8.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 18 02 999 99.0 99.0  1.20  7.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 18 03 999 99.0 99.0  1.00  7.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 18 04 999 99.0 99.0  1.20  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 18 05 999 99.0 99.0  1.30  7.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 18 06 999 99.0 99.0  1.30  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 18 07 999 99.0 99.0  1.40  6.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 18 08 999 99.0 99.0  1.40  7.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 18 09 999 99.0 99.0  1.40  6.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 18 10 999 99.0 99.0  1.50  7.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 18 11 999 99.0 99.0  1.50  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 18 12 999 99.0 99.0  1.70  7.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 18 13 999 99.0 99.0  1.60  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 18 14 999 99.0 99.0  1.60  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 18 15 999 99.0 99.0  1.50  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 18 16 999 99.0 99.0  1.40  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 18 17 999 99.0 99.0  1.30  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 18 18 999 99.0 99.0  1.30  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 18 19 999 99.0 99.0  1.40  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 18 20 999 99.0 99.0  1.30  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 18 21 999 99.0 99.0  1.30  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 18 22 999 99.0 99.0  1.20  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 18 23 999 99.0 99.0  1.30  8.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 19 00 999 99.0 99.0  1.70  8.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
