Date,WVHT,DPD,MWD,WVHT_Mean,WVHT_Var,Obs
2010-11-20,1.58,12.5,2.0,1.29,0.021648000000000014,4.0
2010-11-21,2.0,14.29,348.0,1.798,0.0073000000000000035,7.0
2010-11-22,1.69,11.76,9.0,1.5119999999999998,0.0061499999999999845,4.0
2010-11-23,1.8,11.11,350.0,1.5878947368421052,0.00701754385964912,4.0
2010-11-24,2.41,11.11,326.0,2.1343478260869566,0.019698418972332005,8.0
2010-11-25,2.15,11.11,339.0,1.9668,0.009630999999999978,5.0
2010-11-26,2.17,9.88,23.0,1.9284615384615384,0.014189538461538443,4.0
2010-11-27,1.84,11.76,345.0,1.7204,0.006487333333333344,3.0
2010-11-28,1.66,9.88,20.0,1.5128,0.004779333333333341,2.0
2010-11-29,1.26,9.88,33.0,1.0980769230769232,0.008104153846153822,2.0
2010-11-30,1.22,11.76,355.0,1.1328,0.002737666666666656,2.0
2010-12-01,1.92,11.76,349.0,1.655,0.025866000000000004,4.0
2010-12-02,3.44,9.88,23.0,2.9154166666666668,0.1581389492753624,6.0
2010-12-03,2.83,9.88,30.0,2.4544,0.04008400000000004,5.0
2010-12-04,2.21,9.09,35.0,2.0303999999999998,0.007262333333333332,5.0
2010-12-05,1.41,8.33,38.0,1.3075999999999999,0.00428566666666666,3.0
2010-12-06,1.8,13.33,333.0,1.2908,0.0221826666666667,4.0
2010-12-07,2.42,11.11,338.0,1.9864,0.036124000000000024,7.0
2010-12-08,2.71,15.38,0.0,2.5558333333333336,0.023299242424242392,12.0
2010-12-09,2.6,13.33,9.0,2.2638461538461536,0.04123261538461546,8.0
2010-12-10,1.65,12.5,359.0,1.462,0.010308333333333334,5.0
2010-12-11,2.21,11.11,345.0,1.713846153846154,0.027432615384615416,5.0
2010-12-12,2.14,11.11,352.0,1.8900000000000001,0.00880800000000002,5.0
2010-12-13,1.64,10.53,6.0,1.416086956521739,0.010461264822134388,4.0
2010-12-14,1.52,10.53,355.0,1.37,0.005924999999999999,4.0
2010-12-15,2.11,12.5,348.0,1.9012,0.018777666666666668,7.0
2010-12-16,1.73,11.11,350.0,1.4642307692307692,0.02744138461538464,5.0
2010-12-17,1.08,10.53,335.0,0.9548000000000001,0.004017666666666668,3.0
2010-12-18,1.88,15.38,6.0,1.3842307692307694,0.08226538461538457,5.0
2010-12-19,2.39,14.29,355.0,2.06,0.017224000000000038,8.0
2010-12-20,2.92,12.5,4.0,2.7464,0.007949000000000027,8.0
2010-12-21,2.6,11.76,6.0,2.4308333333333336,0.009881060606060603,6.0
2010-12-22,1.61,9.88,9.0,1.4961904761904763,0.003514761904761921,3.0
2010-12-23,1.97,11.11,16.0,1.6938461538461538,0.014856615384615392,5.0
